Sample,X(ms) [24.05.2017 18:30:12 365 UTC],"I_encoder"[%ID1000],"Q_motor_PWM"[%QW1000],"Q_motor_direction"[%Q4.0]
1244,1535.557860,1631,0,0
1245,1536.535640,1631,0,0
1246,1538.034080,1631,0,0
1247,1539.007980,1631,0,0
1248,1540.680560,1631,0,0
1249,1541.643500,1631,0,0
1250,1543.367480,1631,0,0
1251,1544.355480,1631,0,0
1252,1545.837420,1631,0,0
1253,1546.812340,1631,0,0
1254,1548.523040,1631,0,0
1255,1549.510660,1631,0,0
1256,1551.025520,1631,0,0
1257,1552.008460,1631,0,0
1258,1553.737600,1631,0,0
1259,1554.699700,1631,0,0
1260,1556.419300,1631,0,0
1261,1557.478780,1631,0,0
1262,1558.977640,1631,0,0
1263,1559.943640,1631,0,0
1264,1561.653240,1631,0,0
1265,1563.634740,1631,0,0
1266,1564.616200,1631,0,0
1267,1566.278880,1631,0,0
1268,1567.415560,1631,0,0
1269,1569.258960,1631,0,0
1270,1570.314240,1631,0,0
1271,1571.806140,1631,0,0
1272,1572.820200,1631,0,0
1273,1574.547880,1631,0,0
1274,1575.535240,1631,0,0
1275,1577.420300,1631,0,0
1276,1578.417940,1631,0,0
1277,1579.962340,1631,0,0
1278,1580.932900,1631,0,0
1279,1582.697880,1631,0,0
1280,1583.678740,1631,0,0
1281,1585.359000,1631,0,0
1282,1586.900000,1631,0,0
1283,1587.916600,1631,0,0
1284,1588.877180,1631,0,0
1285,1590.613140,1631,0,0
1286,1592.455960,1631,0,0
1287,1593.481340,1631,0,0
1288,1595.075000,1631,0,0
1289,1596.074740,1631,0,0
1290,1597.770460,1631,0,0
1291,1598.762520,1631,0,0
1292,1600.508240,1631,0,0
1293,1601.519260,1631,0,0
1294,1603.059860,1631,0,0
1295,1604.046800,1631,0,0
1296,1605.727760,1631,0,0
1297,1606.704940,1631,0,0
1298,1608.386840,1631,0,0
1299,1609.402160,1631,0,0
1300,1610.972460,1631,0,0
1301,1612.034380,1631,0,0
1302,1613.801960,1631,0,0
1303,1614.780040,1631,0,0
1304,1616.438920,1631,0,0
1305,1617.989120,1631,0,0
1306,1619.073940,1631,0,0
1307,1620.845080,1631,0,0
1308,1621.851600,1631,0,0
1309,1623.580620,1631,0,0
1310,1624.594140,1631,0,0
1311,1626.257260,1631,0,0
1312,1627.240340,1631,0,0
1313,1628.778020,1631,0,0
1314,1629.850220,1631,0,0
1315,1631.666160,1631,0,0
1316,1632.711960,1631,0,0
1317,1634.450640,1631,0,0
1318,1635.463500,1631,0,0
1319,1636.937940,1631,0,0
1320,1637.909060,1631,0,0
