time,distance_left,distance_right
9.10179716,692,524
9.10367554,721,484
9.10479602,721,484
9.10668244,721,484
9.10861882,721,484
9.1097286,721,484
9.11154114,721,484
9.11336622,736,429
9.11452322,736,429
9.11638164,736,429
9.11751496,736,429
9.1191704,736,429
9.12099208,736,429
9.12212818,736,429
9.12396084,726,402
9.12506626,726,402
9.12689254,726,402
9.1279994,726,402
9.12987272,726,402
9.13162318,726,402
9.132742,721,372
9.1346369,721,372
9.1358137,721,372
9.13763652,721,372
9.1395455,721,372
9.14069358,721,372
9.14255812,721,372
9.14375672,718,356
9.14572728,718,356
9.14758828,718,356
9.14872812,718,356
9.1505406,718,356
9.15235236,718,356
9.1534943,700,400
9.15534906,700,400
9.15647922,700,400
9.15808956,700,400
9.15935908,700,400
9.16110052,700,400
9.1630325,700,400
9.1641386,708,455
9.16583652,708,455
9.16700212,708,455
9.1681911,708,455
9.16953704,708,455
9.17073244,708,455
9.17188872,708,455
9.17307154,729,501
9.17437238,729,501
9.17558066,729,501
9.17673144,729,501
9.17789914,729,501
9.17907592,729,501
9.18045976,729,501
9.18163648,729,501
9.18281434,740,523
9.18396972,740,523
9.18653742,740,523
9.18766784,740,523
9.18950558,740,523
9.19139802,740,523
9.19251744,740,523
9.19413838,745,483
9.19539062,745,483
9.19708812,745,483
9.19885188,745,483
9.1999862,745,483
9.20217478,745,483
9.20410496,747,429
9.20535948,747,429
9.20701292,747,429
9.2081095,747,429
9.21000746,747,429
9.2111262,747,429
9.21290538,715,436
9.21473512,715,436
9.2158478,715,436
9.21770128,715,436
9.21883202,715,436
9.22061716,715,436
9.22255742,715,436
9.2237569,681,457
9.22558904,681,457
9.2266868,681,457
9.22850264,681,457
9.23036106,681,457
9.23148672,681,457
9.23312588,681,457
9.23451176,682,467
9.23635786,682,467
9.23802544,682,467
9.23916316,682,467
9.24091734,682,467
9.2420359,682,467
9.24397122,682,489
9.24586268,682,489
9.24696644,682,489
9.24882722,682,489
9.24993164,682,489
9.25171612,682,489
9.25355104,699,517
9.2547706,699,517
9.25663492,699,517
9.2577345,699,517
9.25957624,699,517
9.26150776,699,517
9.26263102,699,517
9.26439528,724,549
9.26550828,724,549
9.2671284,724,549
9.26896308,724,549
9.2700854,724,549
9.27194826,724,549
9.27312854,737,547
9.2749732,737,547
9.27670538,737,547
9.27783042,737,547
9.27974726,737,547
9.28087912,737,547
9.28272836,737,547
9.28381416,744,512
9.2856602,744,512
9.2875356,744,512
9.28868532,744,512
9.29049498,744,512
9.29218724,744,512
9.2934605,747,444
9.29516634,747,444
9.29644082,747,444
9.2980748,747,444
9.30004646,747,444
9.30116696,747,444
9.30343304,731,392
9.30480714,731,392
9.30613208,731,392
9.30840878,731,392
9.30952942,731,392
9.31114962,731,392
9.31297774,731,392
9.3140928,707,350
9.3158966,707,350
9.31699602,707,350
9.31883962,707,350
9.31992616,707,350
9.32177076,707,350
9.32366562,677,277
9.3247794,677,277
9.32656124,677,277
9.32775432,677,277
9.32935288,677,277
9.33056706,677,277
9.33172412,677,277
9.33287248,663,275
9.33404644,663,275
9.33518442,663,275
9.33654078,663,275
9.33771198,663,275
9.33890756,663,275
9.34004048,663,275
9.34135112,663,275
9.34278614,663,275
9.34401402,672,342
9.34545324,672,342
9.34665918,672,342
9.34780862,672,342
9.34901154,672,342
9.35016708,672,342
9.35152812,672,342
9.3526923,694,409
9.35386756,694,409
9.3550105,694,409
9.35617924,694,409
9.35749032,694,409
9.35870204,694,409
9.35988178,694,409
9.36105836,694,409
9.36238582,694,409
9.36356732,722,443
9.36474604,722,443
9.36589228,722,443
9.36705248,722,443
9.36838124,722,443
9.36960052,722,443
9.37073906,722,443
9.37190798,722,443
9.37306634,753,477
9.37438558,753,477
9.37556746,753,477
9.37674994,753,477
9.37789012,753,477
9.37906254,753,477
9.38039382,753,477
9.38158454,753,477
9.38282102,769,529
9.3839613,769,529
9.38513348,769,529
9.3876356,769,529
9.38881334,769,529
9.39068642,769,529
9.39178854,769,529
9.39360258,742,605
9.3953698,742,605
9.3965223,742,605
9.39841044,742,605
9.39954658,742,605
9.4011647,742,605
9.40358718,610,678
9.40477354,610,678
9.40658156,610,678
9.40843412,610,678
9.4095904,610,678
9.41142774,610,678
9.41255618,610,678
9.41417842,492,697
9.41542842,492,697
9.41710916,492,697
9.4189842,492,697
9.42006876,492,697
9.42189862,492,697
9.42300634,502,672
9.42487142,502,672
9.42675164,502,672
9.42785464,502,672
9.4297355,502,672
9.4308324,502,672
9.43265178,502,672
9.43448194,575,626
9.43562372,575,626
9.43747482,575,626
9.43863122,575,626
9.44038748,575,626
9.442049,575,626
9.44337022,645,603
9.44502944,645,603
9.4461272,645,603
9.44795388,645,603
9.44906538,645,603
9.45096998,645,603
9.45287226,645,603
9.45397468,698,575
9.45585416,698,575
9.45694962,698,575
9.45877404,698,575
9.46069254,698,575
9.46181504,698,575
9.46365026,724,526
9.46474494,724,526
9.46656316,724,526
9.46847134,724,526
9.46961108,724,526
9.47134648,724,526
9.47246136,724,526
9.47418908,737,501
9.4760603,737,501
9.47717358,737,501
9.4788542,737,501
9.48002046,737,501
9.48135344,737,501
9.48372524,737,501
9.48484678,726,472
9.48669812,726,472
9.48780172,726,472
9.4896276,726,472
9.49143142,726,472
9.49259004,726,472
9.49443904,636,390
9.49556066,636,390
9.497181,636,390
9.4984629,636,390
9.50015066,636,390
9.50246862,636,390
9.50360366,489,331
9.50536588,489,331
9.50703968,489,331
9.50819204,489,331
9.51008786,489,331
9.51137836,489,331
9.51308106,466,370
9.51468828,466,370
9.51600908,466,370
9.51790288,466,370
